gene_name	source
NT5C2	"CHORD paper, CGI"
NTN4	"CHORD paper, CGI"
NTRK1	"CHORD paper, CGI"
NTRK2	"CHORD paper, CGI"
NUMA1	"CHORD paper, CGI"
NUP107	"CHORD paper, CGI"
NUP214	"CHORD paper, CGI"
NUP93	"CHORD paper, CGI"
NUP98	"CHORD paper, CGI"
OGG1	"CHORD paper, CGI"
OPCML	"CHORD paper, CGI"
PABPC1	"CHORD paper, CGI"
PABPC3	"CHORD paper, CGI"
PAK1	"CHORD paper, CGI"
PALB2	"CHORD paper, CGI"
PAX5	"CHORD paper, CGI"
PBRM1	"CHORD paper, CGI"
PCBP1	"CHORD paper, CGI"
PCSK6	"CHORD paper, CGI"
PDCD1LG2	"CHORD paper, CGI"
PDE4DIP	"CHORD paper, CGI"
PDGFRA	"CHORD paper, CGI"
PDGFRL	"CHORD paper, CGI"
PDPK1	"CHORD paper, CGI"
PER1	"CHORD paper, CGI"
PGR	"CHORD paper, CGI"
PHF6	"CHORD paper, CGI"
PHOX2B	"CHORD paper, CGI"
PIK3C2B	"CHORD paper, CGI"
PIK3CA	"CHORD paper, CGI"
